Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text
FurSweep-Pro,FurSweep™ - Pet Hair Remover Reusable 50% OFF,"<h2>🔥 Removes Pet Hair in ONE Pass - 50% OFF</h2><p>😫 Tired of finding pet hair everywhere? Fed up with disposable lint rollers that don't work?</p><p><strong>FurSweep™</strong> is the #1 reusable solution. Removes dog and cat hair from sofas, clothes, beds, and cars <strong>instantly</strong>.</p><h2>Why 50,000+ Pet Owners Love FurSweep™</h2><ul><li>⚡ Instant results - one pass removes ALL the hair</li><li>💧 Reusable - rinse with water & soap, lasts YEARS</li><li>🛋️ Works on: sofas, clothes, beds, carpets, car seats</li><li>🐕 For dogs, cats, and any pet</li><li>💰 Saves $50/year vs. disposable rollers</li><li>🌱 Eco-friendly - zero waste</li></ul><p><strong>⚠️ 50% OFF + FREE SHIPPING - Limited Time</strong></p><p>⭐ 4.8 Stars - 50,000+ verified buyers. <strong>Buy now and get your FurSweep™ today!</strong></p>",FurSweep,Home & Garden > Cleaning & Disposable Products,FurSweep,"pet hair remover,reusable lint roller,dog hair removal,cat hair remover,furniture cleaner,shedding tool",TRUE,Pack,1 Unidad,CJTE2695674,100,shopify,100,deny,manual,16.99,34.99,TRUE,TRUE,,1,
FurSweep-Pro,,,,,,,,,2 Unidades,FUR-002,200,shopify,100,deny,manual,27.99,69.98,TRUE,TRUE,,,
FurSweep-Pro,,,,,,,,,3 Unidades,FUR-003,300,shopify,100,deny,manual,37.99,104.97,TRUE,TRUE,,,
petpaw-grooming-gloves,PetPaw™ Grooming Gloves - Silicone Pet Hair Removal Gloves,"<h2>🐾 Groom Your Pet While You Pet Them</h2><p>Turn grooming into bonding time with <strong>PetPaw™ Grooming Gloves</strong>. The flexible silicone nubs collect loose fur while giving your pet a gentle massage — no chasing them with a brush!</p><h2>Why PetPaw™ Grooming Gloves?</h2><ul><li>✅ Removes loose fur while petting — no struggle</li><li>✅ Silicone nubs massage and stimulate skin</li><li>✅ Works on dogs, cats, horses — any furry pet</li><li>✅ Waterproof — use dry or in the bath</li><li>✅ Reusable, easy to clean — rinse and go</li><li>✅ One size fits most adults</li></ul><p><strong>⚠️ 50% OFF + FREE SHIPPING — Limited Time</strong></p><p>⭐ Thousands of happy pet parents. <strong>Get your PetPaw™ Grooming Gloves today!</strong></p>",PetPaw,Pet Supplies > Pet Grooming,Grooming Gloves,"pet grooming gloves,silicone grooming glove,dog hair removal glove,cat grooming glove,pet shedding glove,PetPaw",TRUE,Title,Default Title,PP-GG-001,100,shopify,50,continue,manual,12.99,24.99,TRUE,TRUE,,1,
petpaw-self-cleaning-brush,PetPaw™ Self-Cleaning Brush - 3-in-1 Pet Hair Remover with Water Tank,"<h2>🐾 3-in-1 Self-Cleaning Pet Brush with Mist Spray</h2><p>Experience the next level of pet grooming with <strong>PetPaw™ Self-Cleaning Brush</strong>. The built-in water tank releases a fine mist to reduce static and flying hair while the dual-sided comb removes loose fur effortlessly.</p><h2>Why PetPaw™ Self-Cleaning Brush?</h2><ul><li>✅ Built-in water tank — mist spray reduces static & flying hair</li><li>✅ Self-cleaning — push button to eject hair, no mess</li><li>✅ Double-sided: short teeth for shedding, long teeth for detangling</li><li>✅ Ergonomic handle — comfortable grip, easy to use</li><li>✅ Add conditioner or shampoo to water tank for extra care</li><li>✅ Works on cats, dogs, and all furry pets</li></ul><p><strong>⚠️ 50% OFF + FREE SHIPPING — Limited Time</strong></p><p>⭐ Join thousands of happy pet parents. <strong>Get your PetPaw™ Self-Cleaning Brush today!</strong></p>",PetPaw,Pet Supplies > Pet Grooming,Pet Brushes,"self cleaning pet brush,cat brush with water tank,dog grooming brush,pet hair remover,self cleaning cat brush,PetPaw",TRUE,Title,Default Title,PP-SCB-001,150,shopify,50,continue,manual,14.99,29.99,TRUE,TRUE,,1,
petpaw-hair-remover-roller,PetPaw™ Pet Hair Remover Roller - Reusable Self-Cleaning Lint Roller,"<h2>🧹 Reusable Pet Hair Remover — No More Sticky Sheets!</h2><p>Ditch disposable lint rollers! The <strong>PetPaw™ Pet Hair Remover Roller</strong> picks up pet hair from furniture, clothes, car seats, and bedding — and cleans itself at the push of a button.</p><h2>Why PetPaw™ Hair Remover Roller?</h2><ul><li>✅ Self-cleaning base — push button, hair drops out</li><li>✅ Reusable — saves $50+/year vs. disposable rollers</li><li>✅ Works on: sofas, clothes, carpets, car seats, bedding</li><li>✅ Zero waste — eco-friendly alternative</li><li>✅ No sticky sheets, no adhesive residue</li><li>✅ Compact and portable — take it anywhere</li></ul><p><strong>⚠️ 50% OFF + FREE SHIPPING — Limited Time</strong></p><p>⭐ Thousands of pet parents trust PetPaw™. <strong>Get yours today!</strong></p>",PetPaw,Pet Supplies > Pet Grooming,Pet Brushes,"pet hair remover roller,reusable lint roller,self cleaning lint roller,dog hair remover,cat fur remover,PetPaw",TRUE,Title,Default Title,PP-HRR-001,80,shopify,50,continue,manual,9.99,19.99,TRUE,TRUE,,1,
petpaw-cat-self-grooming-corner-brush,PetPaw™ Cat Self-Grooming Corner Brush - Wall-Mounted Massage Comb,"<h2>🐱 Let Your Cat Groom Itself — No Effort Needed!</h2><p>Mount it on a corner and watch your cat fall in love. The <strong>PetPaw™ Self-Grooming Corner Brush</strong> lets cats groom themselves whenever they want — rubbing, scratching, and removing loose hair naturally.</p><h2>Why Cats & Owners Love It</h2><ul><li>✅ Self-grooming — cats brush themselves, you do nothing</li><li>✅ Reduces shedding and hairballs</li><li>✅ Wall-mounted — fits any corner, no floor space needed</li><li>✅ Soft bristles massage and stimulate skin</li><li>✅ Includes catnip compartment for extra attraction</li><li>✅ Easy to remove and clean</li></ul><p><strong>⚠️ 50% OFF + FREE SHIPPING — Limited Time</strong></p><p>⭐ The grooming tool your cat will thank you for. <strong>Get yours today!</strong></p>",PetPaw,Pet Supplies > Pet Grooming,Pet Brushes,"cat self grooming brush,corner cat brush,wall mounted cat brush,cat hair remover,self groomer cat,PetPaw",TRUE,Title,Default Title,PP-CGB-001,120,shopify,50,continue,manual,12.99,24.99,TRUE,TRUE,,1,
petpaw-pet-lick-mat,PetPaw™ Pet Lick Mat - Anxiety Relief Slow Feeder for Dogs & Cats,"<h2>🧘 Calm Your Pet in Minutes — Spread, Lick, Relax</h2><p>Spread peanut butter, yogurt, or wet food on the <strong>PetPaw™ Lick Mat</strong> and watch your pet enter a state of pure bliss. The repetitive licking releases calming endorphins — perfect for anxious pets, bath time, nail trims, or vet visits.</p><h2>Why PetPaw™ Lick Mat?</h2><ul><li>✅ Reduces anxiety and destructive behavior</li><li>✅ Slow feeder — prevents choking and bloating</li><li>✅ Food-grade silicone — BPA-free, non-toxic</li><li>✅ Strong suction cup — stays put on any smooth surface</li><li>✅ Dishwasher safe — easy to clean</li><li>✅ Works for dogs, cats, and all pets</li></ul><p><strong>⚠️ 50% OFF + FREE SHIPPING — Limited Time</strong></p><p>⭐ The #1 anxiety-relief tool for pet parents. <strong>Get your PetPaw™ Lick Mat today!</strong></p>",PetPaw,Pet Supplies > Pet Grooming,Pet Brushes,"pet lick mat,dog lick mat,cat lick mat,anxiety relief for dogs,slow feeder,dog boredom toy,PetPaw",TRUE,Title,Default Title,PP-LM-001,100,shopify,50,continue,manual,12.99,24.99,TRUE,TRUE,,1,
petpaw-interactive-smart-ball,PetPaw™ Interactive Smart Ball - Auto-Rolling Light-Up Pet Toy,"<h2>⚡ Never Let Your Pet Get Bored Again</h2><p>The <strong>PetPaw™ Interactive Smart Ball</strong> rolls, bounces, and lights up automatically — keeping your cat or dog entertained for hours. With 3 intelligent modes and USB rechargeable, it is the smartest toy in your pet's basket.</p><h2>Why PetPaw™ Smart Ball?</h2><ul><li>✅ Auto-rolls and bounces — mimics prey movement</li><li>✅ LED lights — attracts pets in low light</li><li>✅ 3 modes: fast, slow, interactive (reacts to pats)</li><li>✅ USB rechargeable — no batteries needed</li><li>✅ Auto shut-off after 5 min, wakes up every 2h</li><li>✅ Works on carpets, tile, wood floors</li></ul><p><strong>⚠️ 50% OFF + FREE SHIPPING — Limited Time</strong></p><p>⭐ The smart toy that keeps them chasing all day. <strong>Get your PetPaw™ Smart Ball today!</strong></p>",PetPaw,Pet Supplies > Pet Toys,Toy,"interactive cat toy,smart pet ball,automatic cat toy,dog toy ball,light up pet toy,USB rechargeable pet toy,PetPaw",TRUE,Title,Default Title,PP-SB-001,165,shopify,50,continue,manual,19.99,39.99,TRUE,TRUE,,1,
petpaw-3-in-1-pet-water-bottle,PetPaw™ 3-in-1 Portable Pet Water Bottle - Travel Dispenser with Food Storage,"<h2>🚶 One Bottle. Water. Food. Waste Bags. Done.</h2><p>The <strong>PetPaw™ 3-in-1 Portable Water Bottle</strong> combines a water dispenser, food container, and waste bag holder in one sleek travel companion. Perfect for walks, hikes, road trips — anywhere your pet goes.</p><h2>Why PetPaw™ 3-in-1 Bottle?</h2><ul><li>✅ 3-in-1: water + food + waste bag compartment</li><li>✅ Built-in filtration system for clean water</li><li>✅ Leak-proof lockable dispensing button</li><li>✅ 300ml water + 100g food capacity</li><li>✅ BPA-free, food-safe materials</li><li>✅ Lightweight and portable — clips to any bag</li></ul><p><strong>⚠️ 50% OFF + FREE SHIPPING — Limited Time</strong></p><p>⭐ The ultimate travel companion for pet parents. <strong>Get your PetPaw™ Water Bottle today!</strong></p>",PetPaw,Pet Supplies > Pet Travel Essentials,Pets & Animals,"pet water bottle,portable dog water bottle,pet travel accessories,dog water dispenser,3 in 1 pet bottle,PetPaw",TRUE,Title,Default Title,PP-WB-001,200,shopify,50,continue,manual,16.99,32.99,TRUE,TRUE,,1,
petpaw-paw-cleaner-cup,PetPaw™ Paw Cleaner Cup - Portable Silicone Dog Paw Washer,"<h2>🐾 No More Muddy Paw Prints in Your House!</h2><p>After every walk, just dip your dog's paw in the <strong>PetPaw™ Paw Cleaner Cup</strong>. The soft silicone bristles gently remove mud, dirt, and grime in seconds. Clean floors, happy dog, happy you.</p><h2>Why PetPaw™ Paw Cleaner?</h2><ul><li>✅ Removes mud and dirt in seconds</li><li>✅ Soft silicone bristles — gentle and comfortable</li><li>✅ Portable — use at home or on the go</li><li>✅ 360° cleaning action reaches between toes</li><li>✅ Works for dogs and cats of all sizes</li><li>✅ Easy to clean — just rinse and go</li></ul><p><strong>⚠️ 50% OFF + FREE SHIPPING — Limited Time</strong></p><p>⭐ Stop chasing your dog with a towel. <strong>Get your PetPaw™ Paw Cleaner today!</strong></p>",PetPaw,Pet Supplies > Pet Grooming,Grooming Gloves,"paw cleaner,dog paw washer,pet paw cleaner cup,muddy paws,portable dog washer,PetPaw",TRUE,Title,Default Title,PP-PC-001,150,shopify,50,continue,manual,14.99,29.99,TRUE,TRUE,,1,
